Mag Bin,Sector,TIC,Is Real,Comments,Rp,Tc,Depth,Duration,Tau,Rad,Mass,Teff,RA,DEC,Tmag,Vmag,Jmag
12,18,369826421,0,J,15.69483824,1814.513596,0.005995998,9.556410253,0.766907448,1.84261,,7419,3.918503133,58.36414502,11.378,11.516,10.883
12,18,370118699,0,J,17.62461555,1801.854531,0.015008297,3.39502762,0.489047288,1.30786,1.386,6618,21.77905472,57.11718298,11.4019,11.853,10.795
12,18,370129501,0,J,28.48310219,1801.853994,0.01885056,2.605095053,0.350807506,1.88596,1.485,6856,21.94650186,58.98980684,11.6341,12.093,11.056
12,18,370428710,0,J,11.15074194,1814.65206,0.007377903,5.413116866,0.712132036,1.1801701,1.0650001,5878,22.48800965,57.81571483,11.5069,12.133,10.792
12,18,370430666,0,J,21.026028,1814.639235,0.00788018,5.674740487,0.628201741,2.15326,1.283,6399,22.54906404,58.52617258,11.4692,12.015,10.784
12,18,371004188,0,,19.3951548,1800.789738,0.020580123,10.47327665,5.551669488,1.2290699,1.2359999,6299,29.17366251,57.04983923,11.1224,11.643,10.558
12,18,371302909,0,J,15.02498298,1801.671614,0.006254789,3.534529822,0.303713082,1.72709,1.193,6207,329.3734904,66.57110219,11.3572,11.736,10.713
12,18,372194150,0,J,21.64587568,1790.94129,0.012345208,4.945519901,0.55380226,1.77106,1.79,7656,37.95760117,56.44215089,11.691,12.086,11.153
12,18,372640628,0,,8.964984961,1814.632554,0.011298534,3.035638049,0.379997643,0.76673597,0.92799997,5361,311.2345152,63.60552408,11.6159,12.343,10.884
12,18,372728879,0,J,24.14435919,1814.664889,0.011712861,3.769612397,0.426335642,2.02811,2.3699999,9331,25.84592111,65.34882642,11.455,11.935,11.082
12,18,373232737,0,J,20.23820565,1814.093742,0.0092127,4.32057946,0.476604021,1.91684,1.406,6663,1.768444665,72.92814834,11.545,12.112,10.859
12,18,373953096,0,J,20.75733402,1814.671395,0.009262467,5.783075934,0.886717545,1.9607199,1.21,6254,28.325657,64.94112904,11.7809,12.519,11.003
12,18,374219058,0,J,21.64371488,1814.627033,0.007858233,5.75721029,0.490922961,2.21961,1.92,7967,34.17699903,65.08419088,11.346,11.693,10.798
12,18,376499395,0,,12.55553794,1802.117064,0.006565485,2.128801931,0.299431211,1.4086699,,6363,339.6246604,67.55378768,11.6937,12.347,10.874
12,18,376500342,0,,10.64380709,1802.130157,0.002956438,6.266463393,0.364373777,1.77959,1.17,6154,339.5867639,67.11194234,11.7291,12.419,11.046
12,18,376545470,0,J,21.97898941,1802.028344,0.024394508,7.27087485,3.848150525,1.27929,1.0700001,5895,339.8814288,67.78391617,11.8484,12.55,11.101
12,18,376680221,0,J,16.39930416,1802.050943,0.010297954,3.36723225,1.075496421,1.46912,1.38,6606,340.3727152,67.74145051,11.4287,11.663,10.865
12,18,376967212,0,J,15.23744745,1802.01353,0.021945536,9.907666894,1.311713402,0.93507499,0.97899997,5558,341.6737531,69.72253735,11.8734,12.595,11.171
12,18,377071333,0,Blend,14.34093603,1796.68697,0.025468611,5.021555561,2.530043825,0.81692499,0.86799997,5144,342.2857167,71.76922936,11.89,12.6,11.13
12,18,377612844,0,J,14.90668532,1802.291336,0.005498665,2.794362286,0.239826979,1.82751,1.619,7216,348.2968363,62.18320598,11.0596,11.505,10.674
